schema,table,natural_key_or_check,before_finding,after_finding,action
public,products,slug,0 duplicate slugs,0 duplicate slugs,existing unique slug retained
public,products,canonical active commerce slugs,one active row for each of six canonical slugs,one active row for each of six canonical slugs,verified by pnpm run db:verify
public,products,legacy archived seed slugs,6 archived seed product rows,0 rows,hard-deleted after backup and dependency checks
public,products,PROTECT commerce check,0 active PROTECT product rows,0 active PROTECT product rows,kept editorial-only
public,collections,slug,0 duplicate slugs,0 duplicate slugs,existing unique slug retained
public,collections,active commerce collections,the-core and beyond-the-core active; the-system and intensive inactive,the-core and beyond-the-core active; the-system and intensive inactive,no deletion needed
public,product_relationships,product_id related_product_id relationship_type,0 duplicate relationship keys,0 duplicate relationship keys,primary key retained
public,product_relationships,complete_the_routine active shape,30 canonical rows,30 canonical rows,verified six active products times five related products
public,product_variants,product_id variant_key,0 duplicate variant keys,0 duplicate variant keys,existing unique constraint retained
public,product_variants,sku where not null,0 duplicate non-null SKUs,0 duplicate non-null SKUs,partial unique SKU index added
public,product_media,product_id role sort_order,0 duplicate media keys,0 duplicate media keys,existing unique constraint retained
public,cart_items,cart_id product_id variant_key,0 duplicate cart item keys,0 duplicate cart item keys,protected table preserved
public,orders,idempotency_key and provider IDs,0 duplicate critical keys,0 duplicate critical keys,protected table preserved
public,payment_attempts,idempotency_key and Stripe IDs,0 duplicate critical keys,0 duplicate critical keys,protected table preserved
public,loyalty_ledger_entries,source_key,0 duplicate source keys,0 duplicate source keys,protected ledger preserved
public,stripe_webhook_events,stripe_event_id,0 duplicate event IDs,0 duplicate event IDs,protected webhook history preserved
