schema,table,rls_enabled,policy_count,policies,action
app_ops,data_cleanup_runs,true,1,data_cleanup_runs_service_role_all,private schema revoked from anon/authenticated; service_role policy added
public,cart_items,true,4,cart_items_delete_own_user_cart; cart_items_insert_own_user_cart; cart_items_select_own_user_cart; cart_items_update_own_user_cart,owner-scoped protected cart table preserved
public,carts,true,3,carts_insert_own_user; carts_select_own_user; carts_update_own_user,owner-scoped protected cart table preserved
public,collections,true,1,Public read active collections,public read limited to active collections
public,loyalty_accounts,true,1,loyalty_accounts_select_own,owner-scoped protected rewards table preserved
public,loyalty_ledger_entries,true,1,loyalty_ledger_entries_select_own,owner-scoped protected ledger preserved
public,loyalty_redemptions,true,1,loyalty_redemptions_select_own,owner-scoped protected rewards table preserved
public,order_items,true,1,order_items_select_own_order,order-owned protected history preserved
public,orders,true,1,orders_select_own,owner-scoped protected order table preserved
public,payment_attempts,true,1,payment_attempts_select_own_order,order-owned protected payment table preserved
public,private_feedback,true,1,private_feedback_select_own,owner-scoped protected feedback table preserved
public,product_media,true,1,Public read active product media,public read limited through active products
public,product_relationships,true,1,Public read active product relationships,public read limited through active products
public,product_sources,true,0,,intentional service-only provenance table; advisor info documented
public,product_variants,true,1,Public read active product variants,public read limited through active products
public,products,true,1,Public read active published products,public read active published products only
public,profiles,true,3,profiles_insert_own; profiles_select_own; profiles_update_own,owner-scoped protected profile table preserved
public,referral_attributions,true,1,referral_attributions_select_own,owner-scoped protected referral table preserved
public,referral_codes,true,1,referral_codes_select_own,owner-scoped protected referral table preserved
public,referral_rewards,true,1,referral_rewards_select_own,owner-scoped protected referral table preserved
public,stripe_customers,true,1,stripe_customers_select_own,owner-scoped protected Stripe customer table preserved
public,stripe_webhook_events,true,0,,intentional service-only webhook history table; advisor info documented
public,trustpilot_invitation_attempts,true,1,trustpilot_invitation_attempts_select_own,owner-scoped protected Trustpilot table preserved
